"#","Код","Параметр:Код:Тип подсоединения","Параметр:Код:Подсоединение","Параметр:Код:Диапазон температуры (Впишите диапазон самостоятельно в комментарии к заказу.)","Параметр:Код:Материал корпуса, крышки","Параметр:Код:Диаметр термобаллона, мм","Параметр:Код:Конфигурация","Параметр:Код:Материал защитного экрана","Параметр:Код:Электроконтакты","Параметр:Код:Диаметр шкалы, мм","Параметр:Код:Заполнение термобаллона"
,"T-MAA-S-F-0-100-Q-__C-E-S-2-__mm-L-MS3","E: Без резьбы","Опция","___С","SS316","ø6мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Безопасное стекло","MS3: Один контакт, замыкающий 1 и 3 и размыкающий 2 и 3 при достижении значения настроек","100 мм","Жидкость"
,"T-MAA-S-F-0-100-Q-__C-E-S-3-__mm-G","E: Без резьбы","Опция","___С","SS316","ø8мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Безопасное стекло","нет","100 мм","Газ"
,"T-MAA-S-F-0-100-Q-__C-E-S-3-__mm-G-MS1","E: Без резьбы","Опция","___С","SS316","ø8мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Безопасное стекло","MS1: Один контакт, замыкающий при достижении значения настройки","100 мм","Газ"
,"T-MAA-S-F-0-100-Q-__C-E-S-3-__mm-G-MS2","E: Без резьбы","Опция","___С","SS316","ø8мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Безопасное стекло","MS2: Один контакт, размыкающий при достижении значения настройки","100 мм","Газ"
,"T-MAA-S-F-0-100-Q-__C-E-S-3-__mm-G-MS11","E: Без резьбы","Опция","___С","SS316","ø8мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Безопасное стекло","MS11: Два контакта, замыкающие при достижении значения настроек","100 мм","Газ"
,"T-MAA-S-F-0-100-Q-__C-E-S-3-__mm-G-MS12","E: Без резьбы","Опция","___С","SS316","ø8мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Безопасное стекло","MS12: Два контакта. Левый замыкающий. Правый размыкающий.","100 мм","Газ"
,"T-MAA-S-F-0-100-Q-__C-E-S-3-__mm-G-MS21","E: Без резьбы","Опция","___С","SS316","ø8мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Безопасное стекло","MS21: Два контакта. Левый размыкающий. Правый замыкающий.","100 мм","Газ"
,"T-MAA-S-F-0-100-Q-__C-E-S-3-__mm-G-MS22","E: Без резьбы","Опция","___С","SS316","ø8мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Безопасное стекло","MS22: Два контакта, размыкающие при достижении значения настроек.","100 мм","Газ"
,"T-MAA-S-F-0-100-Q-__C-E-S-3-__mm-G-MS3","E: Без резьбы","Опция","___С","SS316","ø8мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Безопасное стекло","MS3: Один контакт, замыкающий 1 и 3 и размыкающий 2 и 3 при достижении значения настроек","100 мм","Газ"
,"T-MAA-S-F-0-100-Q-__C-E-S-3-__mm-L","E: Без резьбы","Опция","___С","SS316","ø8мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Безопасное стекло","нет","100 мм","Жидкость"
,"T-MAA-S-F-0-100-Q-__C-E-S-3-__mm-L-MS1","E: Без резьбы","Опция","___С","SS316","ø8мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Безопасное стекло","MS1: Один контакт, замыкающий при достижении значения настройки","100 мм","Жидкость"
,"T-MAA-S-F-0-100-Q-__C-E-S-3-__mm-L-MS2","E: Без резьбы","Опция","___С","SS316","ø8мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Безопасное стекло","MS2: Один контакт, размыкающий при достижении значения настройки","100 мм","Жидкость"
,"T-MAA-S-F-0-100-Q-__C-E-S-3-__mm-L-MS11","E: Без резьбы","Опция","___С","SS316","ø8мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Безопасное стекло","MS11: Два контакта, замыкающие при достижении значения настроек","100 мм","Жидкость"
,"T-MAA-S-F-0-100-Q-__C-E-S-3-__mm-L-MS12","E: Без резьбы","Опция","___С","SS316","ø8мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Безопасное стекло","MS12: Два контакта. Левый замыкающий. Правый размыкающий.","100 мм","Жидкость"
,"T-MAA-S-F-0-100-Q-__C-E-S-3-__mm-L-MS21","E: Без резьбы","Опция","___С","SS316","ø8мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Безопасное стекло","MS21: Два контакта. Левый размыкающий. Правый замыкающий.","100 мм","Жидкость"
,"T-MAA-S-F-0-100-Q-__C-E-S-3-__mm-L-MS22","E: Без резьбы","Опция","___С","SS316","ø8мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Безопасное стекло","MS22: Два контакта, размыкающие при достижении значения настроек.","100 мм","Жидкость"
,"T-MAA-S-F-0-100-Q-__C-E-S-3-__mm-L-MS3","E: Без резьбы","Опция","___С","SS316","ø8мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Безопасное стекло","MS3: Один контакт, замыкающий 1 и 3 и размыкающий 2 и 3 при достижении значения настроек","100 мм","Жидкость"
,"T-MAA-S-F-0-100-Q-__C-E-S-4-__mm-G","E: Без резьбы","Опция","___С","SS316","ø10мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Безопасное стекло","нет","100 мм","Газ"
,"T-MAA-S-F-0-100-Q-__C-E-S-4-__mm-G-MS1","E: Без резьбы","Опция","___С","SS316","ø10мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Безопасное стекло","MS1: Один контакт, замыкающий при достижении значения настройки","100 мм","Газ"
,"T-MAA-S-F-0-100-Q-__C-E-S-4-__mm-G-MS2","E: Без резьбы","Опция","___С","SS316","ø10мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Безопасное стекло","MS2: Один контакт, размыкающий при достижении значения настройки","100 мм","Газ"
,"T-MAA-S-F-0-100-Q-__C-E-S-4-__mm-G-MS11","E: Без резьбы","Опция","___С","SS316","ø10мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Безопасное стекло","MS11: Два контакта, замыкающие при достижении значения настроек","100 мм","Газ"
,"T-MAA-S-F-0-100-Q-__C-E-S-4-__mm-G-MS12","E: Без резьбы","Опция","___С","SS316","ø10мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Безопасное стекло","MS12: Два контакта. Левый замыкающий. Правый размыкающий.","100 мм","Газ"
,"T-MAA-S-F-0-100-Q-__C-E-S-4-__mm-G-MS21","E: Без резьбы","Опция","___С","SS316","ø10мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Безопасное стекло","MS21: Два контакта. Левый размыкающий. Правый замыкающий.","100 мм","Газ"
,"T-MAA-S-F-0-100-Q-__C-E-S-4-__mm-G-MS22","E: Без резьбы","Опция","___С","SS316","ø10мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Безопасное стекло","MS22: Два контакта, размыкающие при достижении значения настроек.","100 мм","Газ"
,"T-MAA-S-F-0-100-Q-__C-E-S-4-__mm-G-MS3","E: Без резьбы","Опция","___С","SS316","ø10мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Безопасное стекло","MS3: Один контакт, замыкающий 1 и 3 и размыкающий 2 и 3 при достижении значения настроек","100 мм","Газ"
,"T-MAA-S-F-0-100-Q-__C-E-S-4-__mm-L","E: Без резьбы","Опция","___С","SS316","ø10мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Безопасное стекло","нет","100 мм","Жидкость"
,"T-MAA-S-F-0-100-Q-__C-E-S-4-__mm-L-MS1","E: Без резьбы","Опция","___С","SS316","ø10мм","Подсоединение с регулируемым углом<br><img src=assets/inventory/sh4-qs-sh4-qs.png>","Безопасное стекло","MS1: Один контакт, замыкающий при достижении значения настройки","100 мм","Жидкость"
